Atividade,CBO,DIT,LOC,Maturidade,Nome,Popularidade,Url,WMC
0,4.0,1.0,14.0,7.0,coursera-android,4284,https://github.com/aporter/coursera-android,2.0
164,5.0,1.0,33.0,8.0,orientdb,4281,https://github.com/orientechnologies/orientdb,6.0
26,4.0,1.0,24.0,5.0,Aria,4279,https://github.com/AriaLyy/Aria,6.0
14,3.0,1.0,16.0,5.0,BasePopup,4277,https://github.com/razerdp/BasePopup,3.0
16,5.0,1.0,21.0,7.0,vavr,4276,https://github.com/vavr-io/vavr,4.0
44,5.0,1.0,21.0,9.0,hazelcast,4268,https://github.com/hazelcast/hazelcast,4.0
0,2.0,1.0,18.0,8.0,mapdb,4261,https://github.com/jankotek/mapdb,4.0
1,0.0,1.0,5.0,3.0,SDE-Interview-Questions,4258,https://github.com/twowaits/SDE-Interview-Questions,1.0
12,3.0,1.0,17.0,9.0,gephi,4252,https://github.com/gephi/gephi,4.0
16,5.5,1.0,34.0,5.0,BottomNavigation,4239,https://github.com/Ashok-Varma/BottomNavigation,6.0
18,2.0,1.0,12.0,8.0,quasar,4235,https://github.com/puniverse/quasar,2.0
12,2.0,1.0,10.5,3.0,jvm-sandbox,4223,https://github.com/alibaba/jvm-sandbox,2.0
8,3.0,1.0,10.0,2.0,v9porn,4218,https://github.com/techGay/v9porn,2.0
61,4.0,1.0,11.0,5.0,FirebaseUI-Android,4201,https://github.com/firebase/FirebaseUI-Android,2.5
0,3.0,1.0,31.0,4.0,JS-Sorting-Algorithm,4176,https://github.com/hustcc/JS-Sorting-Algorithm,7.5
4,3.0,1.0,9.5,5.0,BGARefreshLayout-Android,4175,https://github.com/bingoogolapple/BGARefreshLayout-Android,2.0
43,4.0,1.0,13.0,2.0,sofa-boot,4174,https://github.com/sofastack/sofa-boot,2.0
5,3.0,1.0,13.0,5.0,ImagePicker,4171,https://github.com/jeasonlzy/ImagePicker,3.0
8,4.0,1.0,21.5,3.0,okdownload,4158,https://github.com/lingochamp/okdownload,5.0
3,2.0,1.0,18.0,5.0,GT,4156,https://github.com/Tencent/GT,3.0
214,4.0,1.0,13.0,7.0,byte-buddy,4156,https://github.com/raphw/byte-buddy,3.0
8,5.0,1.0,24.0,4.0,ksql,4143,https://github.com/confluentinc/ksql,5.0
45,3.0,1.0,13.0,1.0,metersphere,4132,https://github.com/metersphere/metersphere,3.0
23,4.0,1.0,32.5,7.0,java-jwt,4124,https://github.com/auth0/java-jwt,8.5
8,2.0,1.0,15.5,5.0,AndroidWiFiADB,4124,https://github.com/pedrovgs/AndroidWiFiADB,2.0
1,4.0,1.0,15.0,10.0,android-autofittextview,4115,https://github.com/grantland/android-autofittextview,3.0
98,3.0,1.0,15.0,2.0,Discovery,4110,https://github.com/Nepxion/Discovery,3.0
8,2.0,1.0,8.0,4.0,FastBle,4099,https://github.com/Jasonchenlijian/FastBle,2.0
3,4.0,1.0,32.0,9.0,crawler4j,4085,https://github.com/yasserg/crawler4j,6.0
9,4.0,1.0,35.0,4.0,ticker,4082,https://github.com/robinhood/ticker,4.0
0,3.0,1.0,19.0,5.0,groovy,4074,https://github.com/apache/groovy,4.0
0,3.0,1.0,11.0,4.0,CoordinatorTabLayout,4056,https://github.com/hugeterry/CoordinatorTabLayout,3.0
1,2.5,1.0,12.0,6.0,Phoenix,4045,https://github.com/Yalantis/Phoenix,1.0
0,3.0,2.0,19.0,6.0,FloatingActionButton,4041,https://github.com/makovkastar/FloatingActionButton,3.0
13,7.0,2.0,27.0,4.0,StepView,4033,https://github.com/baoyachi/StepView,2.0
2,2.0,1.0,6.0,4.0,ShineButton,4019,https://github.com/ChadCSong/ShineButton,1.0
14,3.0,1.0,10.0,5.0,JKeyboardPanelSwitch,4017,https://github.com/Jacksgong/JKeyboardPanelSwitch,3.0
0,6.0,2.0,14.0,4.0,ViewPagerCards,4002,https://github.com/rubensousa/ViewPagerCards,3.0
0,3.0,1.0,13.0,7.0,reactive-streams-jvm,3984,https://github.com/reactive-streams/reactive-streams-jvm,2.0
0,3.0,1.0,28.0,4.0,roncoo-pay,3983,https://github.com/roncoo/roncoo-pay,7.0
27,4.0,1.0,26.0,2.0,EdXposed,3975,https://github.com/ElderDrivers/EdXposed,7.0
0,3.0,2.0,12.0,6.0,BGABanner-Android,3975,https://github.com/bingoogolapple/BGABanner-Android,3.0
5,5.0,1.0,25.0,6.0,hbase,3974,https://github.com/apache/hbase,5.0
48,3.0,1.0,15.0,7.0,Android-IMSI-Catcher-Detector,3974,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector,2.0
0,3.0,1.0,19.0,6.0,ysoserial,3973,https://github.com/frohoff/ysoserial,3.0
17,1.0,1.0,13.0,7.0,Luyten,3972,https://github.com/deathmarine/Luyten,2.0
3,3.0,1.0,8.0,5.0,RxJavaSamples,3970,https://github.com/rengwuxian/RxJavaSamples,1.0
6,2.0,1.0,13.0,2.0,SoloPi,3970,https://github.com/alipay/SoloPi,2.0
0,1.0,1.0,24.0,4.0,uid-generator,3969,https://github.com/baidu/uid-generator,6.0
0,4.0,1.0,13.0,4.0,LoadingDrawable,3964,https://github.com/dinuscxj/LoadingDrawable,2.0
22,4.0,1.0,25.0,7.0,jstorm,3954,https://github.com/alibaba/jstorm,5.0
11,2.0,1.0,9.0,7.0,Bolts-Android,3947,https://github.com/BoltsFramework/Bolts-Android,1.0
38,3.0,1.0,10.0,3.0,Tangram-Android,3946,https://github.com/alibaba/Tangram-Android,3.0
13,2.0,1.0,34.0,4.0,Robust,3943,https://github.com/Meituan-Dianping/Robust,6.0
11,3.0,1.0,19.0,5.0,DeepLinkDispatch,3940,https://github.com/airbnb/DeepLinkDispatch,4.0
0,3.0,1.0,9.0,1.0,gpmall,3935,https://github.com/2227324689/gpmall,2.0
15,1.0,1.0,9.0,7.0,cglib,3931,https://github.com/cglib/cglib,2.0
0,5.0,1.0,24.0,10.0,plantuml,3930,https://github.com/plantuml/plantuml,5.0
0,2.0,1.0,4.0,7.0,spring-data-examples,3928,https://github.com/spring-projects/spring-data-examples,1.0
17,6.0,1.0,22.0,4.0,flowable-engine,3924,https://github.com/flowable/flowable-engine,5.0
14,4.0,1.0,12.0,3.0,tx-lcn,3921,https://github.com/codingapi/tx-lcn,2.0
5,2.0,1.0,21.0,4.0,BadgeView,3920,https://github.com/qstumn/BadgeView,2.0
40,2.0,1.0,9.5,8.0,ribbon,3919,https://github.com/Netflix/ribbon,2.0
0,3.0,1.0,11.0,7.0,android-iconify,3918,https://github.com/JoanZapata/android-iconify,3.0
23,5.0,1.0,21.0,4.0,Lawnchair,3905,https://github.com/LawnchairLauncher/Lawnchair,5.0
18,4.0,1.0,20.0,4.0,janusgraph,3898,https://github.com/JanusGraph/janusgraph,5.0
1,3.0,1.0,13.5,7.0,bitcoinj,3892,https://github.com/bitcoinj/bitcoinj,3.0
0,1.0,1.0,11.0,2.0,JGrowing,3892,https://github.com/javagrowing/JGrowing,2.0
0,1.5,1.0,6.5,7.0,libsvm,3884,https://github.com/cjlin1/libsvm,1.0
7,5.0,2.0,24.0,6.0,CircleIndicator,3877,https://github.com/ongakuer/CircleIndicator,3.0
14,2.0,1.0,10.0,5.0,ahbottomnavigation,3865,https://github.com/aurelhubert/ahbottomnavigation,2.0
0,2.0,1.0,12.0,5.0,TwinklingRefreshLayout,3859,https://github.com/lcodecorex/TwinklingRefreshLayout,2.0
11,3.0,1.0,27.0,5.0,google-java-format,3852,https://github.com/google/google-java-format,5.0
83,4.0,1.0,20.0,6.0,lettuce-core,3839,https://github.com/lettuce-io/lettuce-core,5.0
31,4.0,1.0,11.0,3.0,OpenHub,3831,https://github.com/ThirtyDegreesRay/OpenHub,3.0
0,3.0,1.0,6.0,8.0,roboguice,3827,https://github.com/roboguice/roboguice,1.0
0,3.0,1.0,8.5,2.0,Spring-Boot-In-Action,3827,https://github.com/hansonwang99/Spring-Boot-In-Action,2.0
0,5.0,1.0,37.0,3.0,xpay,3814,https://github.com/Exrick/xpay,8.0
0,3.0,1.0,38.0,6.0,XCL-Charts,3814,https://github.com/xcltapestry/XCL-Charts,7.0
13,1.0,1.0,22.0,10.0,JSON-java,3807,https://github.com/stleary/JSON-java,6.0
4,4.0,1.0,15.0,6.0,ExpandableTextView,3807,https://github.com/Manabu-GT/ExpandableTextView,4.0
0,7.0,1.0,51.0,7.0,api-samples,3795,https://github.com/youtube/api-samples,6.0
